t,ds,y
768,2021-05-01,62.88709677419355
769,2022-05-01,64.03225806451613
770,1869-06-01,69.26666666666667
771,1870-06-01,73.08333333333333
772,1871-06-01,69.08333333333333
773,1872-06-01,71.85
774,1873-06-01,69.88333333333334
775,1874-06-01,70.51666666666667
776,1875-06-01,69.05
777,1876-06-01,73.71666666666667
778,1877-06-01,70.11666666666666
779,1878-06-01,67.63333333333334
780,1879-06-01,69.83333333333333
781,1880-06-01,72.15
782,1881-06-01,65.03333333333333
783,1882-06-01,71.53333333333333
784,1883-06-01,73.43333333333334
785,1884-06-01,70.41666666666667
786,1885-06-01,69.5
787,1886-06-01,68.61666666666666
788,1887-06-01,70.08333333333333
789,1888-06-01,71.46666666666667
790,1889-06-01,70.7
791,1890-06-01,70.88333333333334
792,1891-06-01,72.11666666666666
793,1892-06-01,74.11666666666666
794,1893-06-01,68.66666666666667
795,1894-06-01,70.9
796,1895-06-01,73.78333333333333
797,1896-06-01,70.28333333333333
798,1897-06-01,67.48333333333333
799,1898-06-01,71.76666666666667
800,1899-06-01,74.68333333333334
801,1900-06-01,71.25
802,1901-06-01,71.41666666666667
803,1902-06-01,67.03333333333333
804,1903-06-01,64.45
805,1904-06-01,70.73333333333333
806,1905-06-01,70.15
807,1906-06-01,74.08333333333333
808,1907-06-01,68.93333333333334
809,1908-06-01,72.96666666666667
810,1909-06-01,72.33333333333333
811,1910-06-01,69.0
812,1911-06-01,70.1
813,1912-06-01,69.71666666666667
814,1913-06-01,70.46666666666667
815,1914-06-01,68.81666666666666
816,1915-06-01,67.95
817,1916-06-01,65.68333333333334
818,1917-06-01,70.26666666666667
819,1918-06-01,67.75
820,1919-06-01,70.91666666666667
821,1920-06-01,69.15
822,1921-06-01,71.11666666666666
823,1922-06-01,71.75
824,1923-06-01,73.35
825,1924-06-01,67.81666666666666
826,1925-06-01,74.31666666666666
827,1926-06-01,66.75
828,1927-06-01,67.28333333333333
829,1928-06-01,67.4
830,1929-06-01,71.38333333333334
831,1930-06-01,73.51666666666667
832,1931-06-01,70.7
833,1932-06-01,70.46666666666667
